No.003, 전자석의 세기를 비교하는 방법 ① 전자석에 붙는 못핀의 개수를 비교한다. ② 나침반 바늘이 움직이는 각도를 비교한다. ③ 못핀이 전자석에 달라붙기 시작하는 거리를 비교한다., 중,
No.077, 철솜 가루는 자석 양극 쪽으로 모입니다., 중,
No.081, 전선에 전류를 흘려 주면 전선 주위에 자기장이 생겨서 나침반 바늘을 움직이게 합니다., 중,
No.083, 전류가 흐르는 직선으로 된 전선 주위의 자기장은 전선과 수직으로 생깁니다., 중,
No.084, 전류가 흐르는 고리 모양 전선 주위에 나침반을 놓으면 고리 모양 전선 주위에 자기장이 생겨 나침반 바늘이 움직입니다., 중,
No.086, 전류가 흐르는 고리 모양의 전선 주위에는 두 개의 극이 생깁니다., 중,
No.087, 전자석은 자석의 극을 바꿀 수 있고 세기도 조절할 수 있으며 전류가 흐를 때만 자석의 성질을 가집니다., 중,
No.088, 전자석을 만들 때는 못 종이 에나멜선 사포 가위 등이 필요합니다. 네오디뮴 자석은 간이 전동기를 만들 때 사용됩니다., 중,
No.089, 전자석의 한쪽 끝은 N극이고 다른 한쪽 끝은 S극입니다., 중,
No.092, 철로 된 물체를 전자석에 붙여 보거나 나침반 바늘이 끌려오는 정도 등으로 전자석의 세기를 비교할 수 있습니다., 중,
No.094, 간이 전동기의 에나멜선 양쪽을 모두 완전히 벗겨 내면 전류가 계속 흘러 전동기가 돌아가지 않습니다., 중,
No.097, 자석 주변에 보이지 않는 힘을 자기력이라고 합니다., 중,
No.098, 자석의 힘이 미치는 공간을 자기장이라고 합니다., 중,
No.100, 자석의 극 주변에 놓인 나침반이 자석을 가리키고 있지 않다면 고장난 것으로 생각할 수 있습니다., 중,
No.101, 막대 자석의 양극 주위에서는 자석을 가리키고 옆면 주위에서는 자석과 나란한 방향을 가리킵니다., 중,
No.103, 전선의 위치를 바꾸면 자기장의 방향이 바뀌어 나침반 바늘의 방향이 바뀝니다., 중,
No.104, 나침반과 전선의 위치가 같은데도 나침반 바늘이 가리키는 방향이 다른 것은 전류의 방향이 서로 다르기 때문입니다., 중,
No.106, 전자석을 만드는 방법: 불에 달궈 천천히 식힌 못에 종이를 감고 에나멜선을 감은 후 에나멜선 양 끝의 피복을 벗겨 내어 전기 회로에 연결합니다., 중,
No.107, 전자석을 만들때는 에나멜선의 양 끝은 전지의 양쪽 극에 각각 연결해야 하고 에나멜선을 감을 때는 한쪽 방향으로만 감아야 합니다., 중,
No.109, 전자석의 양쪽 끝은 자석의 극이 됩니다., 중,
No.110, S극이 끌려오는 나침반의 극은 N극이고 N극이 끌려오는 나침반의 극은 S극입니다., 중,
No.111, 영구 자석은 자석의 세기를 조절할 수 없습니다., 중,
No.112, 에나멜선의 감은 수가 많을수록 굵기가 굵을수록 전자석의 세기가 셉니다., 중,
No.115, 간이 전동기를 만들 때 에나멜 선의 반만 벗겨진 부분이 아래쪽 향하면 전류가 흘러 돌아가는 힘이 생깁니다., 중,
No.117, 자석 주위에 자석의 힘이 미치기 때문에 철솜 가루가 일정한 모양으로 늘어섭니다., 중,
No.118, 막대자석 위에 철 가루를 뿌리면 철 가루가 서로 이어져 있고 자석을 감싸는 모양을 하고 있으며 자석의 양극 주변에 많이 모여 있습니다. 철 가루가 자기장의 영향을 받기 때문입니다., 중,
No.122, 자석의 극 주위에서는 나침반 바늘이 자석의 극을 가리키고 자석을 가리키는 나침반 바늘의 극은 자석의 극과 반대입니다., 중,
No.123, 막대자석 주위에 나침반을 여러 개 놓고 막대자석을 시계 방향으로 천천히 돌리면 나침반 바늘도 자석의 극을 따라 움직입니다., 중,
No.124, 막대자석 주위에 놓은 나침반 바늘이 움직이는 까닭은 자석 주위에 생긴 자기장 때문입니다., 중,
No.126, 전류가 흐르는 방향으로 오른손 엄지손가락이 향하게 하여 전선을 감아 잡으면 나머지 네 손가락의 방향이 자기장의 방향이 됩니다., 중,
No.127, 전류가 흐르는 전선 주위에 나침반 바늘이 움직이는 것으로 전류가 흐르는 전선 주위에는 자기장이 있음을 알 수 있습니다., 중,
No.128, 전선이 놓인 위치를 바꾸면 나침반 바늘이 움직이는 방향이 반대가 됩니다., 중,
No.133, 나침반 바늘의 N극이 고리 모양의 전선 쪽을 향하고 있으면 그쪽은 S극이고 반대쪽은 N극입니다., 중,
No.134, 나침반을 고리의 반대쪽으로 옮겨도 나침반 바늘이 고리의 극을 가리킵니다., 중,
No.135, 고리 모양의 전선 오른쪽이 N극일땐 나침반 바늘의 S극이 고리의 중심을 향하게 됩니다., 중,
No.136, 전지의 극을 바꾸면 전류가 흐르는 방향이 바뀌어 나침반 바늘이 반대 방향으로 같은 각도만큼 움직입니다., 중,
No.137, 전자석은 전류가 흐를 때만 자석의 성질을 가지고 전류의 방향이 달라지면 극이 바뀌며 전자석의 세기를 조절할 수 있습니다., 중,
No.139, 위치 에너지는 물체가 높은 곳으로 올라갈수록 더 커집니다., 중,
No.140, 태양 에너지는 무한하며 오염 물질을 배출하지 않고 지구상의 대부분의 에너지가 시작됩니다., 중,
No.142, 사람이 손바닥을 비비는 운동 에너지가 열에너지로 전환됩니다., 중,
No.145, 여러 사람이 자동차를 함께 이용하거나 대중교통을 이용하면 에너지를 절약할 수 있습니다., 중,
No.146, 막대를 받치는 곳과 막대를 누르는 곳 사이가 멀수록 책을 들어 올리는 데 필요한 힘의 크기는 작아집니다., 중,
No.148, 직접 힘을 주는 곳을 힘점. 지레를 받치는 곳을 받침점. 물체에 힘이 작용하는 곳을 작용점이라고 합니다., 중,
No.149, 지레는 받침대와 막대를 이용하여 무거운 물체를 쉽게 움직이게 하는 도구입니다., 중,
No.150, 고정 도르래는 힘의 이득이 없고 움직 도르래는 힘의 이득이 있습니다., 중,
No.151, 기중기는 직접 물체를 들 때보다 작은 힘으로 물체를 들 수 있게 해 주는 움직 도르래가 사용되는 대표적인 예입니다., 중,
No.153, 도로를 구불구불하게 만들어 경사가 완만해지면 더 적은 힘으로 산을 오를 수 있습니다., 중,
No.156, 끓는 물은 화학 에너지 열에너지 빛에너지를 가지고 있습니다., 중,
No.157, 건전지는 전기 에너지와 화학 에너지를 가지고 있고 나머지는 모두 운동 에너지를 가지고 있습니다., 중,
No.159, 열에너지는 온도와 관련된 에너지로 온도가 높을수록 열에너지가 많습니다., 중,
No.161, 수력 발전소는 물의 위치 에너지가 운동에너지로 다시 전기 에너지로 에너지가 전환됩니다., 중,
No.162, 지구의 대기 중에 이산화탄소가 많아져 지구의 기온이 올라가고 있습니다., 중,
No.163, 지렛대의 원리에서 받침점과 힘점 사이의 거리가 가까워지면 힘이 더 많이 듭니다., 중,
No.166, 병따개는 작용점이 받침점과 힘점 사이에 있습니다., 중,
No.168, 움직도르래는 힘의 이득이 있습니다., 중,
No.170, 높이가 같은것을 비교하고 길이가 다른것을 비교해야 합니다., 중,
No.173, 장난감 자동차를 손으로 밀거나 건전지를 이용하거나 용수철 저울로 당기거나 하면 움직입니다., 중,
No.174, 책상 위에 놓여진 축구공은 위치 에너지를 가진 것으로 높이 떠 있는 기구와 같은 종류의 에너지를 갖습니다., 중,
No.175, 빛에너지는 태양 전기 물질 연소 등을 통해 얻을 수 있습니다., 중,
No.176, 다리미는 전기 에너지가 열에너지로 전환되며 열을 이용하여 옷의 구김을 펴는 전기 기기입니다., 중,
No.181, 펜치의 손잡이가 길면 작은 힘으로도 물체를 잡을 수 있습니다., 중,
No.182, 바닥과 누름 못뽑이가 접촉되어 있는 부분은 받침점입니다., 중,
No.187, 경사진 각도가 작을수록 물체를 끌어 올릴 때 작은 힘이 듭니다., 중,
No.188, 온도가 높아지고 열기구가 하늘로 올라가는 것은 열에너지와 관련된 현상입니다., 중,
No.189, 선풍기는 전기 에너지와 운동 에너지를 가지고 있습니다., 중,
No.190, 폭포 던져 올린 농구공 롤러코스터 로켓은 모두 운동 에너지와 위치 에너지를 가지고 있습니다., 중,
No.191, 속력이 클수록 운동 에너지도 큽니다., 중,
No.193, 전구는 전기에너지를 이용하여 빛을 내는 도구 입니다., 중,
No.194, 선풍기는 전기 에너지를 이용하여 날개를 돌려서 바람을 일으키는 도구입니다., 중,
No.195, 전기 주전지는 전기 에너지로 물을 뜨겁게 하는 것으로 전기 에너지가 열에너지로 전환됩니다., 중,
No.198, 쓰지 않는 플러그를 뽑아두면 에너지 절약에 도움이 됩니다., 중,
No.200, 지레에서 힘을 주는 곳을 힘점. 물체에 힘이 작용하는 곳을 작용점. 막대를 받치거나 고정된 곳을 받침점이라고 합니다., 중,
No.201, 지레는 무거운 물체를 쉽게 들어올리기 위해서 사용합니다., 중,
No.204, 고정 도르래는 한곳에 고정시켜 사용하는 도르래이고 움직 도르래는 한곳에 고정되어 있지 않은 도르래입니다., 중,
No.205, 고정 도르래는 한곳에 고정시켜 사용하는 도르래이고 움직 도르래는 한곳에 고정되어 있지 않은 도르래입니다., 중,
No.207, 고정 도르래와 움직 도르래를 함께 사용하면 힘의 방향을 조절할 수 있고 힘이 더 적게 듭니다., 중,
No.209, 병따개는 지레의 원리를 이용한 예입니다., 중,
No.212, 활 고무줄 총 트램펄린은 탄성 에너지. 열기구 벽난로 끓는 물는 열에너지. 번지 드롭. 전지. 던져 올린 농구공은 위치 에너지. 범퍼카 육상 선수 움직이는 기차는 운동 에너지. 레이저 광선 쇼 전등 토치에서 나오는 불꽃는 빛에너지의 예입니다., 중,
No.213, 석탄. 석유 등의 에너지 자원은 생활을 편리하게 해 주지만 환경을 오염시키는 단점이 있습니다. 에너지는 여러 가지가 있으며 종류가 바뀔 수 있습니다., 중,
No.214, 전기 주전자는 전기 에너지를 열에너지로 전환하여 사용합니다., 중,
No.215, 전기 에너지는 다양한 에너지로 전환됩니다., 중,
No.216, 형광등은 전기 에너지를 빛에너지로 전환합니다., 중,
No.219, 우리가 주로 사용하는 에너지를 생산하는 석유. 석탄 등은 한정되어 있으므로 아껴써야 합니다., 중,
No.223, 누름 못뽑이는 지레의 원리를 이용한 생활 도구입니다., 중,
No.224, 누름 못뽑이는 받침점이 작용점과 힘점 사이에 있습니다., 중,
No.225, 누름 못뽑이는 받침점이 작용점과 힘점 사이에 있습니다., 중,
No.226, 핀셋은 지레의 3요소가 ‘작용점-힘점-받침점’의 순서로 되어 있습니다., 중,
No.227, 용수철에 추를 매달아 들어올리기와 고정도르래에 추를 매달고 용수철을 아래로 당기기는 용수철이 늘어나는 길이가 같고 움직도르래에 추를 매달고 용수철을 위로 당기기는 용수철에 추를 매달아 들어올리기. 고정도르래에 추를 매달고 용수철을 아래로 당기기보다 용수철이 늘어나는 길이가 더 짧습니다., 중,
No.229, 거중기는 여러 개의 고정 도르래와 움직 도르래를 이용하여 만든 것입니다., 중,
No.231, 배구 네트 고정대와 블라인드는 도르래를 이용한 예입니다., 중,
No.233, 건전지는 전기 에너지 다리미는 전기 에너지와 열에너지 벽난로는 열에너지와 빛에너지 끓는 물은 열에너지를 가지고 있습니다., 중,
No.234, 나무를 태우면 높은 열에너지를 얻을 수 있습니다., 중,
No.235, 토치의 불꽃 같이 뜨거운 물체일수록 많이 가지고 있는 에너지는 열에너지입니다., 중,
No.236, 물체의 위치가 높을수록 위치 에너지가 큽니다., 중,
No.237, 롤러코스트의 위치 에너지가 운동 에너지로 전환되어 롤러코스트를 움직이게 합니다., 중,
No.239, 구슬이 높은 곳에 있으면 위치 에너지를 갖고 있으며 구슬을 놓으면 아래로 떨어지면서 운동 에너지로 바뀌게 됩니다. 그 후 구슬이 소고와 부딪히면 튀면서 소리 에너지로 전환됩니다., 중,
No.242, 지레는 책상 끝으로부터 누르는 점까지 거리가 멀수록 힘이 적게 듭니다., 중,
No.244, 가위 핀셋 병따개 족집게는 지레의 원리를 이용한 것입니다., 중,
No.246, 고정 도르래는 국기 게양대에 이용하고 물체를 들어 올릴 때 작용하는 힘의 방향을 바꿀 수 있지만 필요한 힘의 크기는 그대로입니다., 중,
No.248, 용수철이 늘어나는 길이가 길수록 실험용 수레를 끌어 올리는 데 더 큰 힘이 드는 것입니다., 중,
No.250, 블라인드 네트 고정대 국기 게양대는 고정 도르래를 이용한 것입니다., 중,
