No.003, 다음 중 전자석의 세기를 비교하는 방법이 옳지 않은 사람은 누구인지 쓰시오., 대일, 중, 전자석,
No.084, 나침반 바늘이 고리 모양의 전선 쪽으로 움직이는 까닭은 전선 주위에 무엇이 생겼기 때문인지 쓰시오., 자기장, 중, 전류와 자기장,
No.086, 다음은 고리 모양의 전선 양쪽에 나침반을 놓아둔 모습입니다. 이에 대한 설명으로 옳지 않은 것은 어느 것입니까?, 4, 중, 전류와 자기장,
No.087, 다음 중 전자석과 막대자석의 공통점을 고르시오., 1, 중, 전자석,
No.088, 다음 중 전자석을 만들 때 필요한 재료를 골라 기호를 쓰시오., A, 중, 전자석,
No.089, 다음의 전자석 주위에 나침반을 놓았을 때 나침반이 같은 방향을 가리키는 것끼리 바르게 짝지은 것을 고르시오., 2, 중, 전자석,
No.092, 전자석의 세기를 비교하기 위해 클립 대신에 사용할 수 있는 물체는 어느 것입니까?, 2, 중, 전자석,
No.094, 간이 전동기를 만들 때 에나멜선의 양쪽 끝 부분을 모두 벗겨 내면 간이 전동기가 작동합니까? 작동하지 않습니까?, 2, 중, 간이전동기,
No.097, 철가루가 늘어서는 모양을 보고 알 수 있는 사실은 무엇입니까?, 4, 중, 철가루와 자기장,
No.098, 철 가루가 이와 같이 늘어서는 공간을 무엇이라고 합니까?, 자기장, 중, 철가루와 자기장,
No.100, 다음은 막대자석 주위에 놓인 나침반의 모습입니다. 고장 났을 것으로 생각되는 나침반을 골라 기호를 쓰시오., A, 중, 자석의 성질,
No.101, 다음 (   ) 안의 알맞은 기호를 순서대로 쓰시오., AB, 중, 자석의 성질,
No.103, 다음과 같은 실험에서 전선을 나침반 아래로 내려놓으면 나침반 바늘이 어떻게 됩니까?, 4, 중, 전류와 자기장,
No.104, 다음과 같이 전류가 흐르는 전선을 나침반 아래에 두었을 때 두 나침반 바늘이 가리키는 방향이 각각 다른 까닭으로 옳은 것은 어느 것입니까?, 1, 중, 전류와 자기장,
No.106, 다음은 전자석을 만드는 방법을 순서없이 나타낸 것입니다. 순서에 맞게 기호를 쓰시오., CABD, 중, 전자석,
No.107, 다음 [보기]에서 전자석을 만드는 방법에 대한 설명으로 옳은 것을 골라 기호를 쓰시오., A, 중, 전자석,
No.109, 다음과 같은 결과가 나오는 까닭으로 옳은 것은 어느 것입니까?, 4, 중, 전자석,
No.110, 다음과 같이 전류가 흐르는 전자석 주위에 나침반 바늘을 놓아두었을 때에 대한 설명으로 옳은 것은 어느 것입니까?, 3, 중, 전자석,
No.111, 다음 중 전자석과 영구 자석의 특징으로 옳지 않은 것은 어느 것입니까?, 5, 중, 전자석,
No.112, 클립이 가장 많이 달라 붙는 전자석의 기호를 쓰시오., C, 중, 전자석,
No.115, 다음 중 간이 전동기의 고리가 돌아가는 힘이 있는 경우를 골라 기호를 쓰시오., B, 중, 간이 전동기,
No.117, 다음 중 식용유와 철 솜 가루를 투명 플라스틱 병에 넣고 잘 흔들었을 때 첨 솜 가루가 자석의 양 극 쪽으로 많이 모이는 현상이 나타나는 까닭을 바르게 설명한 것은 어느 것입니까?, 3, 중, 철가루와 자기장,
No.118, 다음 중 위 실험에서 철 가루가 늘어선 모양으로 옳은 것을 고르시오., 2, 중, 철가루와 자기장,
No.122, 다음과 같이 막대자석 주위의 ㉠ 위치에 나침반을 놓았을 때 나침반의 바늘이 가리키는 방향으로 옳은 것은 어느 것입니까?, 2, 중, 자석의 성질,
No.123, 막대자석 주위에 나침반을 여러 개 놓고 막대 자석을 시계 방향으로 천천히 돌리면 막대자석 주위의 나침반 바늘은 어떻게 됩니까?, 3, 중, 자석의 성질,
No.124, 다음 [보기] 중 막대자석 주위에서 나침반 바늘이 움직이는 까닭으로 옳은 것을 골라 기호를 쓰시오., B, 중, 자석의 성질,
No.126, 다음 실험에서 스위치를 닫을 때 나침반 바늘의 N극은 A와 B중 어느 쪽으로 움직이는지 기호를 쓰시오., B, 중, 전류와 자기장,
No.127, 전류가 흐르는 방향으로 오른손 엄지손가락이 향하게 하여 전선을 감아 잡으면 나머지 네 손가락의 방향이 자기장의 방향이 됩니다. 이것으로 알 수 있는 사실은 어느 것입니까?, 4, 중, 전류와 자기장,
No.128, 이 실험에서 전선을 나침반 아래에 놓고 스위치를 닫았을 때 나침반 바늘은 A과 B중 어느 쪽으로 움직이는지 기호를 쓰시오., A, 중, 전류와 자기장,
No.133, 다음 실험에서 A과 B중 N극에 해당하는 것을 골라 기호를 쓰시오, B, 중, 전류와 자기장,
No.134, 다음 실험에서 나침반을 고리의 ㉡ 쪽으로 옮겼을 때 나침반 바늘의 모습을 바르게 나타낸 것은 어느 것입니까?, 2, 중, 전류와 자기장,
No.135, 다음 실험에서 나침반 바늘을 고리 모양의 전선에 가까이 할 때 고리의 중심을 향하는 것은 나침반 바늘의 N극과 S극 중 어느 것인지 쓰시오., S, 중, 전류와 자기장,
No.136, 다음 실험에서 전지의 극을 바꾸어 연결했을 때에 대한 설명으로 옳지 않은 것은 어느 것입니까?, 5, 중, 전류와 자기장,
No.137, 다음 중 전자석이 영구 자석과 다른 점을 고르시오., 1, 중, 전자석,
No.139, 다음 중 높이가 높아질수록 에너지가 커지는 것은 어느 것입니까?, 3, 중, 에너지의 특징,
No.140, 다음 보기 중 태양 에너지에 대한 설명으로 옳은 것을 두 가지 골라 기호를 쓰시오., B, 중, 에너지의 특징,
No.142, 다음 (    ) 안의 알맞은 말의 기호를 순서대로 쓰시오., BA, 중, 에너지 전환,
No.145, 다음 중 에너지 절약을 위해 여러 사람이 자동차를 함께 이용하거나 대중교통을 이용하는 까닭으로 옳지 않은 것은 어느 것입니까?, 4, 중, 에너지의 절약,
No.146, 다음에서 가장 작은 힘으로 책을 들어 올릴 수 있는 곳의 기호를 쓰시오., A, 중, 지레,
No.148, 다음 그림에서 지레의 3요소를 바르게 연결한 것은 어느 것입니까?, 2, 중, 지레,
No.149, 다음 (   ) 안에 들어갈 알맞은 말의 기호를 쓰시오., B, 중, 지레,
No.151, 다음 중 움직 도르래가 주로 사용되는 것은 어느 것입니까?, 3, 중, 도르래,
No.153, 산에 도로를 구불구불하게 만드는 까닭을 바르게 설명한 것을 고르시오., 2, 중, 경사면,
No.156, 다음에 대한 설명으로 옳은 것은 어느 것입니까?, 1, 중, 에너지의 특징,
No.157, 다음 중 운동 에너지를 가지고 있지 않은 것은 어느 것입니까?, 4, 중, 에너지의 특징,
No.159, 다음 중 에너지의 양이 가장 많은 것은 어느 것입니까?, 5, 중, 에너지의 특징,
No.161, 다음 중 에너지 전환 과정으로 옳지 않은 것은 어느 것입니까?, 5, 중, 에너지 전환,
No.162, 석탄이나 석유 같은 에너지 자원을 사용할 때 발생하는 기체로 지구의 기온이 올라가는 현상과 관계있는 물질은 무엇인지 쓰시오., 이산화탄소, 중, 에너지의 특징,
No.163, 다음에서 받침대를 ㉢ 쪽으로 가까이로 옮길 때 나타나는 현상으로 옳은 것은 어느 것입니까?, 1, 중, 지레,
No.166, 다음 병따개에서 작용점의 위치는 어디인지 기호를 쓰시오., B, 중, 지레,
No.168, 다음 중 위 표의 힘의 크기를 추의 무게와 비교하여 바르게 설명한 것은 어느 것입니까?, 3, 중, 도르래,
No.170, 물체를 끌어 올리는 높이는 같고 경사면의 기울기만 다를 때 물체를 끌어 올리는 데 필요한 힘의 크기가 달라지는지 알아보려고 합니다. ㈎ ~ ㈑ 중 그 결과를 비교해야 하는 것으로 바르게 짝지어진 것은 어느 것입니까?, 1, 중, 경사면,
No.173, 다음 중 장난감 자동차를 움직이기 위한 방법이 아닌 것은 어느 것입니까?, 5, 중, 에너지의 특징,
No.174, 다음 중 책상 위에 놓인 축구공이 가지는 에너지와 같은 종류의 에너지를 가지는 것은 어느 것입니까?, 4, 중, 에너지의 특징,
No.175, 다음 중 에너지를 얻는 방법으로 옳지 않은 것은 어느 것입니까?, 4, 중, 에너지의 특징,
No.176, 다음 그림 에서 전기 에너지는 어떤 에너지로 전환되는지 쓰시오., 열, 중, 에너지 전환,
No.181, 다음 중 지레의 원리를 이용한 생활 도구에 대한 설명으로 옳지 않은 것은 어느 것입니까?, 2, 중, 지레,
No.182, 다음의 누름 못뽑이에 대한 설명으로 옳지 않은 것은 무엇입니까?, 5, 중, 지레,
No.185, 높은 곳에 직접 올라가지 않고 국기를 게양대에 쉽게 매달려면 어떤 종류의 도르래가 필요한지 쓰시오. 정답 : (       ) 도르래., 고정, 중, 도르래,
No.187, 다음 중 물체를 끌어 올릴 때 가장 적은 힘이 드는 경사면의 기울기는 어느 것입니까?, 1, 중, 경사면,
No.188, 다음 중 에너지 때문에 일어나는 현상으로 옳은 것을 고르시오., 2, 중, 에너지의 특징,
No.189, 다음 중 빛에너지를 가지고 있는 물체로 옳지 않은 것은 어느 것입니까?, 3, 중, 에너지의 특징,
No.190, 다음의 경우에 공통적으로 가지고 있는 에너지를 고르시오., 3, 중, 에너지의 특징,
No.191, 자동차의 속력이 클수록 자동차가 부딪칠 때 더 많이 찌그러집니다. 다음 중 이 사실로 알 수 있는 것은 어느 것입니까?, 3, 중, 에너지의 특징,
No.193, 에너지 전환의 예와 에너지 전환 과정이 알맞은 것을 고르시오., C, 중, 에너지 전환,
No.194, 에너지 전환의 예와 에너지 전환 과정이 알맞은 것을 고르시오., A, 중, 에너지 전환,
No.195, 에너지 전환의 예와 에너지 전환 과정이 알맞은 것을 고르시오., B, 중, 에너지 전환,
No.198, 다음 중 불필요한 전기 에너지의 소모를 줄일 수 있는 방법으로 옳지 않은 것은 어느 것입니까?, 5, 중, 에너지 절약,
No.200, 다음 지레에서 ㉠을 무엇이라고 하는지 쓰시오., 힘점, 중, 지레,
No.201, 다음 중 지레를 사용하는 까닭으로 옳은 것은 어느 것입니까?, 4, 중, 지레,
No.204, 다음은 어떤 도르래인지 쓰시오., 고정, 중, 도르래,
No.205, 다음은 어떤 도르래인지 쓰시오., 움직, 중, 도르래,
No.207, 다음 중 고정 도르래와 움직 도르래를 함께 사용하는 까닭으로 옳은 것은 어느 것입니까?, 5, 중, 도르래,
No.209, 다음 중 경사면이 우리 생활에 이용된 예로 옳지 않은 것은 어느 것입니까?, 3, 중, 경사면,
No.212, 다음 중 운동하는 물체가 가지는 에너지의 예끼리 바르게 짝지은 것은 어느 것입니까?, 4, 중, 에너지의 특징,
No.213, 다음 중 에너지에 대한 설명으로 옳은 것은 어느 것입니까?, 2, 중, 에너지의 특징,
No.214, 다음과 같은 물체는 전기 에너지를 어떤 에너지로 전환하여 사용하는지 쓰시오., 열, 중, 에너지 전환,
No.215, 다음 중 전기밥솥에서 전기 에너지가 전환되는 에너지로 옳은 것은 어느 것입니까?, 1, 중, 에너지 전환,
No.216, 다음 중 형광등이 켜지는 것은 전기 에너지가 어떤 에너지로 전환되었기 때문입니까?, 1, 중, 에너지 전환,
No.219, 다음 빈칸 안에 들어갈 알맞은 말을 쓰시오., 에너지, 중, 에너지 절약,
No.222, 다음에서 어느 부분에 힘을 주면 가장 작은 힘으로 무거운 돌을 들어 올릴 수 있는지 기호를 쓰시오., D, 하, 지레,
No.223, 다음 중 누름 못뽑이에 사용된 원리로 옳은 것은 어느 것입니까?, 1, 중, 지레,
No.224, 다음 누름 못뽑이에서 작용점의 위치는 어디인지 기호를 쓰시오., B, 중, 지레,
No.225, 다음 누름 못뽑이에서 힘점의 위치는 어디인지 기호를 쓰시오., A, 중, 지레,
No.226, 다음 중 핀셋과 같은 지레의 원리가 사용된 도구를 고르시오., 3, 중, 지레,
No.227, 다음과 같은 방법으로 추를 들어 올릴 때 용수철이 늘어나는 길이를 바르게 설명한 것은 어느 것입니까?, 4, 중, 도르래,
No.229, 다음은 정약용이 만든 거중기의 모습입니다. 이 거중기는 무엇의 원리를 이용하여 만든 도구입니까?, 2, 중, 도르래,
No.231, 다음 보기 중 경사면을 이용한 것을 모두 골라 바르게 짝지은 것은 어느 것입니까?, 4, 중, 경사면,
No.233, 다음 중 에너지의 종류와 그 예가 바르게 연결된 것은 어느 것입니까?, 3, 중, 에너지의 특징,
No.234, 다음 중 벽난로에서 나무를 태워 직접 얻을 수 있는 에너지는 어느 것입니까?, 1, 중, 에너지의 특징,
No.235, 토치에서 나오는 불꽃처럼 뜨거운 물체일수록 많이 가지고 있는 에너지로 물체의 온도와 관계 깊은 에너지는 무엇입니까?, 1, 중, 에너지의 특징,
No.236, 다음은 어떤 에너지에 대한 설명입니까?, 3, 중, 에너지의 특징,
No.237, 다음은 롤러코스터가 위에서 아래로 움직일 때의 에너지 전환 과정을 나타낸 것입니다. 빈칸 안에 들어갈 말로 바르게 짝지어진 것은 어느 것입니까?, 5, 중, 에너지 전환,
No.239, 오른쪽과 같이 책상 위에 소고를 놓고 그 위에서 구슬을 떨어뜨렸을 때 에너지의 전환 과정으로 옳은 것은 어느 것입니까?, 1, 중, 에너지 전환,
No.242, 다음과 같이 막대를 누르는 지점을 다르게 하여 책을 들어 올릴 때 드는 힘이 더 큰 것의 기호를 쓰시오., A, 중, 지레,
No.244, 다음 중 지레의 원리를 이용한 것이 아닌 것은 어느 것입니까?, 4, 중, 지레,
No.246, 다음 도르래에 대한 설명으로 옳은 것을 고르시오., 2, 중, 도르래,
No.248, 다음은 실험용 수레를 위로 올리는 방법에 따른 용수철이 늘어나는 길이를 측정한 표입니다. 같은 무게의 실험용 수레를 위로 올리는 데 드는 힘의 크기가 가장 큰 것부터 순서대로 기호를 쓰시오., ABC, 중, 경사면,
No.250, 다음 중 경사면을 이용한 것을 고르시오., 1, 중, 경사면,
