No.001, 전자석을 이용한 기중기는 고철을 쉽게 이동시킬 수 있습니다., 하,
No.048, 에나멜선이 고리 모양의 전선과 같이 감겨 있으며 전류가 흐르므로 전자석이 자석의 성질을 띠게 됩니다., 하,
No.051, 멀리 있는 철로 된 물체도 쉽게 끌어당길수록 센 전자석입니다., 하,
No.054, 둥근 막대 자석의 양극 쪽에는 철솜 가루가 많이 모이지만 옆면 쪽에는 잘 모이지 않습니다., 하,
No.057, 자석 주위에 있는 자기장 때문에 철 가루가 부드럽게 연결되어 늘어섭니다., 하,
No.061, 나침반을 놓아두거나 철 가루를 뿌려 보면 자기장이 있는지 없는지 알 수 있습니다., 하,
No.062, 나침반 바늘이 움직이는 현상은 자석 주위에서 나타나는 현상과 같습니다., 하,
No.063, 전류가 흐르는 전선 주위에 자기장이 있습니다., 하,
No.069, 전류가 흐를 때 자기장이 만들어지는 자석을 전자석이라고 합니다., 하,
No.076, 철솜 가루가 투명 플라스틱 병 안에 움직이는 모습을 보기 위해서는 투명한 액체를 넣어야 합니다., 하,
No.078, 철 가루나 철솜 가루는 모두 철로 되어 있어 자석에 끌려옵니다., 하,
No.079, 자석 주변의 철 가루는 서로 이어져 있고 자석을 감싸는 모양을 하고 있습니다., 하,
No.080, 나침반 바늘이 가리키는 방향이 달라지는 것은 자기장 때문입니다., 하,
No.090, 클립이 끌려오기 시작하는 거리가 멀수록 전자석의 세기가 센 것입니다., 하,
No.095, 철솜 가루가 둥근 막대 자석을 만나면 중심으로 반원 모양을 그리며 배열합니다., 하,
No.096, 자석 주위에 자석의 힘이 미치는 공간이 있기 때문에 철솜 가루가 그 힘에 의해 늘어서게 됩니다., 하,
No.099, 철 가루는 자석의 힘이 가장 센 양극 쪽에 모이게 됩니다., 하,
No.105, 전지의 극을 바꾸면 전류의 방향이 반대가 되어 자기장의 방향도 반대가 됩니다., 하,
No.108, 전자석에 전류를 흘려 주면 자석의 성질을 띠기 때문에 나침반 바늘이 끌려 오게 됩니다., 하,
No.114, 현미경은 전동기를 이용한 기구가 아닙니다., 하,
No.116, 식용유와 철솜 가루를 넣은 플라스틱 병에 말굽자석을 대어 보면 자석의 양극 쪽으로 철솜 가루가 많이 모입니다., 하,
No.120, 나침반 바늘의 S극이 막대자석 가리키는쪽은 N극이고 나침반 바늘의 N극이 자석을 가리키는 쪽은 S극입니다., 하,
No.121, 나침반 바늘의 S극이 막대자석 가리키는쪽은 N극이고 나침반 바늘의 N극이 자석을 가리키는 쪽은 S극입니다., 하,
No.132, 전류가 흐르는 전선 주위에는 자기장이 있습니다., 하,
No.138, 에너지는 일을 할 수 있는 능력이라는 의미이며 모든 물체는 에너지를 가지고 있습니다., 하,
No.141, 다리미. 토치에서 나오는 불꽃. 끓는 물은 열에너지를 가지고 있습니다., 하,
No.143, 선풍기는 전기 에너지를 운동 에너지로 바꾸어 사용하는 기구입니다., 하,
No.144, 에너지 효율이 높은 형광등은 오랫동안 켤 때 사용하고 백열등은 자주 켜고 끌 때 사용합니다., 하,
No.147, 막대를 한 점으로 받치고 그 받침점을 중심으로 물체를 움직이는 장치를 지레라고 합니다., 하,
No.152, 경사면의 기울기가 완만할수록 물체를 끌어 올리는 데 드는 힘이 작아집니다., 하,
No.155, 경사면 위에 있는 장난감 자동차는 가지고 있는 위치 에너지 때문에 경사면 아래로 내려옵니다., 하,
No.158, 용수철과 연결된 탈것은 용수철의 탄성 에너지를 이용한 놀이 기구입니다., 하,
No.160, 롤러코스터는 전기 에너지로 처음에 높은 곳으로 이동하여 위치 에너지를 가지게 되고 내려오면서 운동 에너지로 전환됩니다., 하,
No.164, 지렛대에서 힘을 주는 부분은 힘점입니다., 하,
No.167, 핀셋을 이용하면 도구를 사용하지 않을 때보다 더 큰 힘이 필요하지만 작은 물체를 집는 등의 정교한 일을 할 수 있다는 장점이 있습니다., 하,
No.169, 고정 도르래는 힘의 방향을 바꾸어 주는 편리함이 있습니다., 하,
No.172, 에너지는 물체를 움직이거나 전기를 켜거나 따뜻하게 합니다., 하,
No.177, 에너지를 절약하기 위해서 에어컨은 기온이 28℃ 이상일 때만 사용합니다., 하,
No.178, 받침과 막대를 이용하여 물체를 쉽게 움직이게 할 수 있습니다., 하,
No.179, 받침과 막대를 이용하여 물체를 쉽게 움직이게 할 수 있습니다., 하,
No.180, 받침과 막대를 이용하여 물체를 쉽게 움직이게 할 수 있습니다., 하,
No.184, 움직 도르래를 여러 개 이용하면 더 작은 힘으로 물체를 들 수 있습니다., 하,
No.185, 국기 게양대. 네트 고정대. 블라인드 등에는 힘의 방향을 바꾸어 주는 고정 도르래가 설치되어 있습니다., 하,
No.186, 경사면의 기울기가 급할수록 힘이 많이 들어 용수철이 더 많이 늘어납니다., 하,
No.192, 헤어드라이어를 켜면 전기 에너지가 운동 에너지. 열에너지. 소리 에너지로 바뀝니다., 하,
No.196, 에스컬레이터는 전기 에너지를 운동 에너지와 위치 에너지로 전환한 것입니다., 하,
No.197, 에너지 절약을 위해 자가용보다는 대중교통을 이용합니다., 하,
No.202, 지레의 원리를 이용한 도구로 힘을 절약할 수 있습니다., 하,
No.203, 힘점은 지레에 힘을 가하는 점이고 작용점은 지레가 물체에 힘을 작용하는 점이며 받침점은 지레의 막대를 받치거나 고정된 점을 말합니다., 하,
No.206, 고정 도르래는 작용하는 힘의 크기는 변함이 없지만 힘을 주는 방향을 바꿀 수 있어 편리합니다., 하,
No.208, 경사면을 이용할 때보다 직접 물체를 들어 올릴 때 더 큰 힘이 필요합니다., 하,
No.210, 위치 에너지는 물체의 위치와 관련된 에너지로 높은 곳에 있는 물체가 더 큰 위치 에너지를 가집니다., 하,
No.211, 범퍼카는 운동 에너지. 조명은 빛에너지를 사용합니다., 하,
No.217, 수력 발전은 물이 떨어질 때 생기는 위치 에너지를 이용해서 전기 에너지를 생산합니다., 하,
No.218, 수력 발전은 물이 떨어질 때 생기는 위치 에너지를 이용해서 전기 에너지를 생산합니다., 하,
No.220, 그 양이 한정되어 있는 에너지 자원에는 석탄. 석유. 천연가스 등이 있고 양이 무한한 에너지 자원에는 바람. 태양. 물 등이 있습니다., 하,
No.221, 작용점은 물체에 힘이 작용하는 부분입니다., 하,
No.222, 받침점과 힘점 사이의 거리가 멀수록 더 큰 힘을 낼 수 있습니다., 하,
No.228, 고정 도르래와 움직 도르래를 함께 사용하면 힘의 방향과 크기에 모두 이득이 있습니다., 하,
No.230, 기울기가 완만한 경사면에서 작은 힘이 듭니다., 하,
No.232, 용수철을 이용하여 장난감 자동차를 움직일 경우 탄성 에너지를 이용합니다., 하,
No.238, 손바닥을 서로 비비면(운동 에너지) 손바닥이 뜨거워지면서 열(열에너지)이 발생합니다., 하,
No.240, 승강기는 전기 에너지가 위치 에너지로 전환된 것입니다., 하,
No.243, 핀셋은 지레의 원리를 이용한 도구로 힘점이 작용점과 받침점 사이에 있습니다., 하,
No.247, 경사면은 힘을 절약할 수 있고 고정 도르래는 힘의 방향을 바꿀 수 있습니다., 하,
No.249, 경사면의 기울기가 완만할수록 물건을 끌어 올릴 때 힘이 작게 듭니다., 하,

